Evaluations;Max fitness;Diversity;Mutation rate
100;1.0830273352505997E-8;9.000319844426256;1.0
200;0.18169318439215976;1.557052912370917;0.053226286420520436
300;1.059854448006002;0.09522436450604266;8.500420770600637E-5
400;5.099580898012861;0.1523997105714101;0.09473279716891529
500;7.223611063417749;0.04865035211549754;0.028759337154933905
600;8.863474533375262;8.340488874123405E-4;5.340585769376358E-4
700;9.363703759933236;0.023785645381225597;0.01462358554597074
800;9.763605995790321;0.002496391606001127;0.0013699679459058204
900;9.90538038080857;0.02259549477366855;0.005526977855971285
1000;9.948200498231914;0.002490103632503934;0.001732908037236236
1100;9.983240616341275;0.0014275032599524679;0.005455117882181558
1200;9.99039561281975;0.004208251834310906;0.0033142307156271214
1300;9.996735258471292;0.005570404617304729;0.00327894273622297
1400;9.998993776828613;0.003087102786061157;0.0023242764382636213
1500;9.999744083191153;0.0014115686364749441;0.0020359479625416043
1600;9.999874724945881;1.1112851054715194E-4;1.1548778064276416E-5
1700;9.99993506510841;5.363838792334463E-4;4.050134992407062E-4
1800;9.999963899048263;1.5071299272671908E-4;1.1124890218048707E-4
1900;9.999973840858125;8.202218319313062E-5;5.1960279904013105E-5
2000;9.999987046522186;1.1112566072343654E-6;1.71359660375948E-7
2100;9.999988887386383;5.5497450586278664E-5;1.7311325854076057E-5
2200;9.999991018111402;5.215937975539812E-5;1.7979094967294373E-4
2300;9.999991135533143;7.1399439874393836E-6;8.442724694661051E-8
2400;9.999991421750243;1.4312701734318062E-6;2.5816815082492317E-9
2500;9.999991508861006;6.935146727667468E-6;3.273499405548507E-6
2600;9.99999163675299;5.672521249310332E-7;3.508659604632535E-7
2700;9.999991646814903;8.564783491725115E-7;1.0374811631466826E-6
2800;9.999991678615274;7.44693541387131E-8;9.052644628622117E-7
2900;9.999991712615804;6.459822331631432E-7;5.41105286105418E-8
3000;9.99999173330227;1.476360639571005E-7;4.743621200994131E-8
3100;9.999991745182651;5.204193393626116E-7;2.642177579994871E-6
3200;9.999991751362597;7.72438538321394E-6;9.67201463415716E-7
3300;9.999991761452904;2.9772957872193548E-6;8.998024958383876E-7
3400;9.999991763273067;7.542710342112603E-7;1.7138806763355972E-8
3500;9.999991765683255;6.514908529920966E-6;6.1771730226871865E-6
3600;9.99999176616177;6.6883772008707826E-6;2.7587486691019084E-6
3700;9.99999176693635;2.8297180463178824E-6;7.273508077260976E-7
3800;9.999991767310362;1.394304671577648E-6;1.454670961664506E-7
3900;9.99999176736052;9.89085427848559E-7;1.0143800514131964E-6
4000;9.999991767399191;5.566064450794894E-7;4.1908017337690484E-7
4100;9.999991767421273;1.211970639115104E-7;1.1693276473082157E-7
4200;9.999991767436269;1.357613117416471E-7;1.8968670766740537E-9
4300;9.999991767439887;2.7601722039571098E-8;1.5914163240239434E-9
4400;9.999991767447975;1.9450438731088552E-8;3.772634765863506E-8
4500;9.99999176747396;1.667722138293236E-7;1.3395509271627806E-7
