island_count;epoch_size;fitness_sharing;sigma;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;30;2;2;0.5;2;SchaffersEvaluation;10055;0.09357563434500507;0.16556937346552764;26500.0;30120.590963658065
1;0;false;0;30;2;2;0.5;2;KatsuuraEvaluation;21661;0.0014543702433580403;0.003953356083165768;6109.0;6113.95035962838
1;0;false;0;30;2;2;0.5;3;SchaffersEvaluation;32646;0.02912713063194347;0.03942006144392367;24303.0;23720.54554600294
1;0;false;0;30;2;2;0.5;3;KatsuuraEvaluation;16113;4.7112046286996324e-06;1.0222933511865287e-05;8403.0;5530.793885148858
1;0;false;0;30;2;2;0.5;4;SchaffersEvaluation;31640;0.019400102018523994;0.026718160403776933;29800.0;23911.50350772615
1;0;false;0;30;2;2;0.5;4;KatsuuraEvaluation;12060;1.7552902580737594e-05;5.264518548664667e-05;7606.0;7612.420377251902
1;0;false;0;30;2;2;0.5;6;SchaffersEvaluation;30096;0.04014253208853619;0.06442057154944066;16803.0;19247.318800290082
1;0;false;0;30;2;2;0.5;6;KatsuuraEvaluation;12950;0.0006494927050354207;0.0017325569141761784;11212.0;15507.785657533444
1;0;false;0;30;2;2;0.5;12;SchaffersEvaluation;2133;0.02811123760009841;0.05156807245464891;32700.0;27272.88030260097
1;0;false;0;30;2;2;0.5;12;KatsuuraEvaluation;11706;0.0044707628021555534;0.010058875523058192;30603.0;22164.306463320707
1;0;false;0;30;2;2;0.5;24;SchaffersEvaluation;6141;0.0880911836884942;0.20704472426753737;13803.0;17101.96716755122
1;0;false;0;30;2;2;0.5;24;KatsuuraEvaluation;26563;0.0031828020219577986;0.006245648791654722;26603.0;19273.828913840654
1;0;false;0;30;3;3;0.5;2;SchaffersEvaluation;14634;0.034241586556931845;0.06055034430800123;18603.0;20112.89340199465
1;0;false;0;30;3;3;0.5;2;KatsuuraEvaluation;30624;0.018885146369814837;0.056570198855393376;11706.0;16777.060052345285
1;0;false;0;30;3;3;0.5;3;SchaffersEvaluation;4458;0.11846293371879102;0.2947927629321702;18303.0;16562.01319284585
1;0;false;0;30;3;3;0.5;3;KatsuuraEvaluation;26790;3.0008842326464416e-05;7.192646010828229e-05;11709.0;12680.677781569879
1;0;false;0;30;3;3;0.5;4;SchaffersEvaluation;13121;0.022166498982708557;0.028287871518213693;33600.0;31686.590223626146
1;0;false;0;30;3;3;0.5;4;KatsuuraEvaluation;364;6.44101682466929e-05;0.0001601756165452954;6012.0;6697.478331431913
1;0;false;0;30;3;3;0.5;6;SchaffersEvaluation;11370;0.03255700948716715;0.09633264866927979;24009.0;21498.097334415434
1;0;false;0;30;3;3;0.5;6;KatsuuraEvaluation;24954;7.652543037947943e-06;1.2405566375939933e-05;11703.0;7870.189387810182
1;0;false;0;30;3;3;0.5;12;SchaffersEvaluation;32547;0.0040027234260769;0.007375828308382609;32412.0;36233.446096114014
1;0;false;0;30;3;3;0.5;12;KatsuuraEvaluation;31331;5.0416271832591755e-05;0.00014850430257597403;32703.0;24050.236610062697
1;0;false;0;30;3;3;0.5;24;SchaffersEvaluation;21262;0.0031716571755121365;0.00810820604340682;28206.0;27232.73295135837
1;0;false;0;30;3;3;0.5;24;KatsuuraEvaluation;16769;0.00011358761455457153;0.00028018153562732825;33600.0;28580.412873154928
1;0;false;0;30;4;2;0.5;2;SchaffersEvaluation;10156;6.396426156358387e-06;1.2711548262384366e-05;30.0;0.0
1;0;false;0;30;4;2;0.5;2;KatsuuraEvaluation;8761;1.6989141746353042e-07;4.933958211434758e-07;30.0;0.0
1;0;false;0;30;4;2;0.5;3;SchaffersEvaluation;21550;4.191991261539433e-08;7.014222261598359e-08;30.0;0.0
1;0;false;0;30;4;2;0.5;3;KatsuuraEvaluation;13618;1.198545741156524e-07;2.6975302406912223e-07;30.0;0.0
1;0;false;0;30;4;2;0.5;4;SchaffersEvaluation;31310;3.1238762136945127e-06;6.941694858732383e-06;30.0;0.0
1;0;false;0;30;4;2;0.5;4;KatsuuraEvaluation;17306;2.725226541071383e-06;8.136880542957605e-06;30.0;0.0
1;0;false;0;30;4;2;0.5;6;SchaffersEvaluation;142;0.0008287906097559771;0.0023335802455784374;30.0;0.0
1;0;false;0;30;4;2;0.5;6;KatsuuraEvaluation;31881;6.990917294639256e-11;1.8653100130783116e-10;30.0;0.0
1;0;false;0;30;4;2;0.5;12;SchaffersEvaluation;9701;4.216788694031631e-05;8.867536156223079e-05;30.0;0.0
1;0;false;0;30;4;2;0.5;12;KatsuuraEvaluation;25501;5.7469745593633135e-06;1.7212751662767277e-05;30.0;0.0
1;0;false;0;30;4;2;0.5;24;SchaffersEvaluation;7348;0.00010404432183775143;0.00030614554671314385;30.0;0.0
1;0;false;0;30;4;2;0.5;24;KatsuuraEvaluation;24669;3.449294512296719e-08;6.028097601804629e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;2;SchaffersEvaluation;17158;5.49543793219389e-07;7.495520310344141e-07;30.0;0.0
1;0;false;0;30;4;4;0.5;2;KatsuuraEvaluation;13914;2.797492078987383e-07;8.360255325721055e-07;30.0;0.0
1;0;false;0;30;4;4;0.5;3;SchaffersEvaluation;32589;3.755156958014322e-09;1.0317354268551142e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;3;KatsuuraEvaluation;3229;2.2339460137596318e-10;6.610367925162847e-10;30.0;0.0
1;0;false;0;30;4;4;0.5;4;SchaffersEvaluation;24836;4.0642672363555655e-05;0.00011940699980642086;30.0;0.0
1;0;false;0;30;4;4;0.5;4;KatsuuraEvaluation;27718;4.075754161822517e-08;1.0611306118336366e-07;30.0;0.0
1;0;false;0;30;4;4;0.5;6;SchaffersEvaluation;32267;1.347386370924553e-08;2.5238858217847543e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;6;KatsuuraEvaluation;29632;3.007348442178485e-09;9.01469022897447e-09;30.0;0.0
1;0;false;0;30;4;4;0.5;12;SchaffersEvaluation;10059;7.914830806625211e-07;1.6569531562138458e-06;30.0;0.0
1;0;false;0;30;4;4;0.5;12;KatsuuraEvaluation;20158;4.4411855725378764e-08;8.260061424085725e-08;30.0;0.0
1;0;false;0;30;4;4;0.5;24;SchaffersEvaluation;2962;0.00020651873748681824;0.0005724709436156573;30.0;0.0
1;0;false;0;30;4;4;0.5;24;KatsuuraEvaluation;4129;8.198164021279464e-07;2.33487592676345e-06;30.0;0.0
1;0;false;0;30;6;2;0.5;2;SchaffersEvaluation;25208;0.4720303492826726;0.7242474532879651;21600.0;24948.74746355015
1;0;false;0;30;6;2;0.5;2;KatsuuraEvaluation;23935;0.026792269213845577;0.04811074537348305;5403.0;2609.1533109420766
1;0;false;0;30;6;2;0.5;3;SchaffersEvaluation;1280;0.4479688739943981;0.9549999953445728;13800.0;15542.200616386343
1;0;false;0;30;6;2;0.5;3;KatsuuraEvaluation;14201;0.0019424266027426175;0.0053622430416849;4800.0;1469.6938456699068
1;0;false;0;30;6;2;0.5;4;SchaffersEvaluation;28841;0.24603752612972835;0.3155802611058113;15600.0;18580.635080642427
1;0;false;0;30;6;2;0.5;4;KatsuuraEvaluation;26086;0.0009273796422310313;0.0014913140737295239;4500.0;2765.8633371878664
1;0;false;0;30;6;2;0.5;6;SchaffersEvaluation;6305;0.2268425389109924;0.2853445799108674;7500.0;6184.658438426491
