island_count,epoch_size,fitness_sharing,sigma,migration_size,population_size,parent_count,arity,recombination_p,k,evaluationName,seed,MBF,stdBF,meanConv,stdConv
1,0,true,0.001,0,200,24,3,1,2,SchaffersEvaluation,23621,8.4852094509,0.6087037595,7707.2,2331.9257621117
1,0,true,0.001,0,200,24,3,0.99,2,SchaffersEvaluation,28747,8.3241836406,0.9645149175,8628.8,1902.3629937528
1,0,true,0.007862069,0,200,24,3,1,2,SchaffersEvaluation,2920,8.4549738678,1.2607511374,11938.4,5801.2368888023
1,0,true,0.007862069,0,200,24,3,0.99,2,SchaffersEvaluation,3506,9.2899111366,0.3695924044,17398.4,21997.6155216878
1,0,true,0.0147241379,0,200,24,3,1,2,SchaffersEvaluation,12142,9.0046475806,0.8048960268,9999.2,2188.6118340172
1,0,true,0.0147241379,0,200,24,3,0.99,2,SchaffersEvaluation,21676,9.20851592,0.4131679232,12809.6,6519.3047972924
1,0,true,0.0215862069,0,200,24,3,1,2,SchaffersEvaluation,14494,8.6717148824,0.9378696453,12214.4,4269.77739935
1,0,true,0.0215862069,0,200,24,3,0.99,2,SchaffersEvaluation,2597,8.6705311287,0.9758885375,12120.8,3594.7329469656
1,0,true,0.0284482759,0,200,24,3,1,2,SchaffersEvaluation,18628,8.882793016,0.6167206306,10848.8,2978.7480860254
1,0,true,0.0284482759,0,200,24,3,0.99,2,SchaffersEvaluation,3760,8.909712281,0.4886993466,11972,6349.2339065434
1,0,true,0.0353103448,0,200,24,3,1,2,SchaffersEvaluation,29449,8.7798622082,1.1510440535,11057.6,3747.9394658932
1,0,true,0.0353103448,0,200,24,3,0.99,2,SchaffersEvaluation,10640,8.9977278856,0.6774352931,12550.4,4722.1511030462
1,0,true,0.0421724138,0,200,24,3,1,2,SchaffersEvaluation,26605,8.3900220527,1.1935829065,13083.2,8660.9865119396
1,0,true,0.0421724138,0,200,24,3,0.99,2,SchaffersEvaluation,26613,8.6571127804,0.5760281383,11492,5472.9920153423
1,0,true,0.0490344828,0,200,24,3,1,2,SchaffersEvaluation,656,8.7960346614,0.6955758282,12850.4,8629.7168806398
1,0,true,0.0490344828,0,200,24,3,0.99,2,SchaffersEvaluation,3239,9.1111211811,0.3977927438,10822.4,4200.0850277108
1,0,true,0.0558965517,0,200,24,3,1,2,SchaffersEvaluation,664,9.0798069166,0.5586621697,14120,8290.6366462414
1,0,true,0.0558965517,0,200,24,3,0.99,2,SchaffersEvaluation,32667,9.0612793805,0.4881639283,9178.4,2831.4396055717
1,0,true,0.0627586207,0,200,24,3,1,2,SchaffersEvaluation,1882,8.9441460228,0.4540777828,12224,7110.0784805795
1,0,true,0.0627586207,0,200,24,3,0.99,2,SchaffersEvaluation,26766,8.7029826377,0.6023417527,13059.2,6461.5274479027
1,0,true,0.0696206897,0,200,24,3,1,2,SchaffersEvaluation,21088,8.8099390312,0.5298268801,12130.4,6424.6296578091
1,0,true,0.0696206897,0,200,24,3,0.99,2,SchaffersEvaluation,6867,8.9454092448,0.5155872428,19095.2,13585.9251639334
1,0,true,0.0764827586,0,200,24,3,1,2,SchaffersEvaluation,14797,9.0078529364,0.4330901758,12910.4,8870.2987007203
1,0,true,0.0764827586,0,200,24,3,0.99,2,SchaffersEvaluation,4543,8.4865506157,0.9822646531,13040,8598.4668400826
