island_count;epoch_size;fitness_sharing;sigma;migration_size;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0;0;50;2;2;0.80;2;SchaffersEvaluation;6232;0.595303110851178;0.6906216751349473;29480.0;33085.610165145816
1;0;false;0;0;50;2;2;0.80;2;KatsuuraEvaluation;10630;0.031937311612372836;0.06327698443017103;8640.0;4258.450422395452
1;0;false;0;0;50;2;2;0.80;3;SchaffersEvaluation;17146;0.278495449340698;0.26365767496537024;10620.0;15181.35698809563
1;0;false;0;0;50;2;2;0.80;2;SchaffersEvaluation;32273;0.8037132605653229;1.231251844415096;12180.0;23036.00659836683
1;0;false;0;0;50;2;2;0.80;2;KatsuuraEvaluation;6331;0.04872488784974076;0.07865287560712923;8940.0;3926.6270512998813
1;0;false;0;0;50;2;2;0.80;3;SchaffersEvaluation;2821;0.5054656624821103;0.8217174132108996;18830.0;26602.97163852189
1;0;false;0;0;50;2;2;0.80;3;KatsuuraEvaluation;31420;0.00260851404957801;0.004555628063677266;5130.0;3649.671218068828
1;0;false;0;0;50;2;2;0.80;6;SchaffersEvaluation;22626;0.07269299142787147;0.07587939821299619;11270.0;25743.777889035635
1;0;false;0;0;50;2;2;0.80;6;KatsuuraEvaluation;10535;0.015606700290852241;0.039206072616615725;5980.0;3051.491438624726
1;0;false;0;0;50;2;2;0.80;12;SchaffersEvaluation;9178;0.2676630837233799;0.5198245201780131;3005.0;6530.407720808862
1;0;false;0;0;50;2;2;0.80;12;KatsuuraEvaluation;23858;0.008213622051139596;0.018509882541178472;3575.0;2336.798022936514
1;0;false;0;0;50;2;2;0.80;24;SchaffersEvaluation;7316;0.08862107839673902;0.11443506280929838;11670.0;22389.55336758641
1;0;false;0;0;50;2;2;0.80;24;KatsuuraEvaluation;16896;3.502019464634897e-05;7.50463739508045e-05;3515.0;4579.249392640676
1;0;false;0;0;50;3;3;0.80;2;SchaffersEvaluation;29326;0.49507176790234564;0.8060090583234105;12821.0;19561.967707774187
1;0;false;0;0;50;3;3;0.80;2;KatsuuraEvaluation;29590;0.054672795357585714;0.09690097972747945;6170.9;3681.9199461693897
1;0;false;0;0;50;3;3;0.80;3;SchaffersEvaluation;29850;0.3987712441048064;0.45098264631476837;9710.9;13459.168722101673
1;0;false;0;0;50;3;3;0.80;3;KatsuuraEvaluation;22481;0.01148143396278847;0.026358532295420407;4551.2;2335.2903374098905
1;0;false;0;0;50;3;3;0.80;6;SchaffersEvaluation;21315;0.2669526899737959;0.16116003199384007;3351.2;4771.882307852949
1;0;false;0;0;50;3;3;0.80;6;KatsuuraEvaluation;516;0.032869097489138153;0.09830539176862096;4121.0;2699.788991754726
1;0;false;0;0;50;3;3;0.80;12;SchaffersEvaluation;16355;0.686453733032559;1.1166714002553166;5010.5;9750.245650751574
1;0;false;0;0;50;3;3;0.80;12;KatsuuraEvaluation;21038;0.003429682010619542;0.008154383204055498;4000.7;4811.051923436287
1;0;false;0;0;50;3;3;0.80;24;SchaffersEvaluation;18616;0.06731399070596829;0.07049098818124103;8150.9;14377.802707298497
1;0;false;0;0;50;3;3;0.80;24;KatsuuraEvaluation;7631;0.1458551486796991;0.41967251987439086;11765.9;14761.196722827048
1;0;false;0;0;50;4;2;0.80;2;SchaffersEvaluation;29482;1.60090757941392;1.275574615075759;4552.0;5651.946567334125
1;0;false;0;0;50;4;2;0.80;2;KatsuuraEvaluation;26621;0.03344335517932927;0.05099549686391347;5192.0;2789.7849379477266
1;0;false;0;0;50;4;2;0.80;3;SchaffersEvaluation;3970;0.6639667440395215;0.9055124503305373;6942.0;7349.585022298878
1;0;false;0;0;50;4;2;0.80;3;KatsuuraEvaluation;17882;0.002897678026966179;0.0038095903650473897;5992.0;2423.4066930666013
1;0;false;0;0;50;4;2;0.80;6;SchaffersEvaluation;5664;0.8517566825735733;0.9339115070002019;5502.0;7043.862576740123
1;0;false;0;0;50;4;2;0.80;6;KatsuuraEvaluation;5796;0.020120607126969545;0.02737757374923724;2996.8;2288.7558541705575
1;0;false;0;0;50;4;2;0.80;12;SchaffersEvaluation;31714;1.2212120511734748;1.4516791460015004;4062.0;4884.506116282382
1;0;false;0;0;50;4;2;0.80;12;KatsuuraEvaluation;10845;0.06444502222812455;0.13086416319218142;4522.0;2822.693748885982
1;0;false;0;0;50;4;2;0.80;24;SchaffersEvaluation;25840;0.698638676599691;0.7267843634484972;6452.0;4159.8677863605235
1;0;false;0;0;50;4;2;0.80;24;KatsuuraEvaluation;15872;0.12084720989190442;0.3476269124814265;4662.0;2960.8106997915284
1;0;false;0;0;50;4;4;0.80;2;SchaffersEvaluation;10716;0.6844273067592981;0.5203986448185707;2382.0;1553.576518875076
1;0;false;0;0;50;4;4;0.80;2;KatsuuraEvaluation;12882;0.04624893249845843;0.12151136962159902;6972.0;3361.562136864348
1;0;false;0;0;50;4;4;0.80;3;SchaffersEvaluation;20993;0.11995190128197727;0.08734308643782267;3272.0;2462.133221415933
1;0;false;0;0;50;4;4;0.80;3;KatsuuraEvaluation;17381;0.03359058977298078;0.061701079913945245;8022.0;4270.316147546923
1;0;false;0;0;50;4;4;0.80;6;SchaffersEvaluation;28704;0.17363743613720595;0.16185828081210174;12592.0;23297.615757840973
1;0;false;0;0;50;4;4;0.80;6;KatsuuraEvaluation;17290;0.05225935053670074;0.10648921500102315;7722.0;4943.440097745698
1;0;false;0;0;50;4;4;0.80;12;SchaffersEvaluation;17129;0.1499588812378863;0.1765344542323242;32622.0;35410.16238313515
1;0;false;0;0;50;4;4;0.80;12;KatsuuraEvaluation;22631;0.005432798015501561;0.008278917811282371;12002.0;16103.850471238238
1;0;false;0;0;50;4;4;0.80;24;SchaffersEvaluation;13257;0.21440439474069745;0.22660247757236127;12132.0;19613.92617504206
1;0;false;0;0;50;4;4;0.80;24;KatsuuraEvaluation;31462;0.016322318929051678;0.0411179250640133;9682.0;7179.1085797611395
1;0;false;0;0;50;6;2;0.80;2;SchaffersEvaluation;11725;1.6987441891596586;1.2990266766194938;6152.0;7970.720318766679
1;0;false;0;0;50;6;2;0.80;2;KatsuuraEvaluation;27874;0.08864741159405101;0.09008492876063945;5922.8;2633.4406695424145
1;0;false;0;0;50;6;2;0.80;3;SchaffersEvaluation;11478;1.2742005301782229;1.0594979898341432;3111.2;3731.4016883739546
1;0;false;0;0;50;6;2;0.80;3;KatsuuraEvaluation;10318;0.05819997131573161;0.09052666466209831;6842.0;3379.982721849329
1;0;false;0;0;50;6;2;0.80;6;SchaffersEvaluation;32460;1.2666307717176248;1.2881494035535852;3591.8;4289.724788375123
1;0;false;0;0;50;6;2;0.80;6;KatsuuraEvaluation;6853;0.044032584314947464;0.06441375253166919;5086.4;3130.0973531185896
1;0;false;0;0;50;6;2;0.80;12;SchaffersEvaluation;21815;1.780761364302285;1.6029148793182626;1852.4;662.7987929982975
