islandN;epochSize;fitnessSharing;sigma;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0.0;SchaffersEvaluation;16875;0.8746772175638109;1.0793303724666692;1200.0;400.0
2;10;false;0.0;SchaffersEvaluation;11217;0.7487079440632037;0.5976811404971901;1900.0;700.0
2;20;false;0.0;SchaffersEvaluation;20968;0.8206354035210731;0.9344177291928304;1700.0;900.0
2;30;false;0.0;SchaffersEvaluation;23041;0.465566513665966;0.5114277230525414;2300.0;2410.39415863879
2;40;false;0.0;SchaffersEvaluation;18458;1.4013778387807958;1.5438005649947655;2900.0;3753.664875824692
2;50;false;0.0;SchaffersEvaluation;8364;1.0636424233942052;1.4629667284090664;2000.0;1483.2396974191327
4;10;false;0.0;SchaffersEvaluation;8537;0.9015891920002842;0.9022088265215311;2500.0;2872.281323269014
4;20;false;0.0;SchaffersEvaluation;22908;1.2307874564461792;0.8528243504220221;2400.0;1743.5595774162693
4;30;false;0.0;SchaffersEvaluation;2108;0.6782800335302943;0.7568601735687341;6000.0;8111.719916269299
4;40;false;0.0;SchaffersEvaluation;27475;1.0886849303545154;0.8752187320845205;2400.0;1959.5917942265426
4;50;false;0.0;SchaffersEvaluation;14083;1.9547230981247143;1.7089020348549016;1600.0;663.32495807108
5;10;false;0.0;SchaffersEvaluation;28869;0.7157378233202382;0.5640499524808769;5700.0;5728.001396647875
5;20;false;0.0;SchaffersEvaluation;13007;1.0318293186914886;0.9321272850312718;2100.0;2022.3748416156684
1;0;false;0.0;SchaffersEvaluation;13601;0.23593021946188095;0.3070873676954678;1500.0;921.9544457292888
1;0;false;0.0;KatsuuraEvaluation;4868;0.3163194259105079;0.737011510349388;30200.0;26263.282353887145
2;10;false;0.0;SchaffersEvaluation;28286;1.0283975145294928;1.0489667613676967;1900.0;1220.6555615733703
2;10;false;0.0;KatsuuraEvaluation;9880;0.16533504220255807;0.34653957841854666;27600.0;32465.982196754805
2;20;false;0.0;SchaffersEvaluation;313;0.7242801559701736;0.8392544963211929;3000.0;2449.489742783178
2;20;false;0.0;KatsuuraEvaluation;22960;0.27276683555258635;0.32437842518608795;13900.0;15858.436240689054
2;30;false;0.0;SchaffersEvaluation;16458;1.2888868162812859;1.5067386107578213;2400.0;1113.5528725660045
2;30;false;0.0;KatsuuraEvaluation;21572;0.2141207250144883;0.3887334938088188;31000.0;29407.482041140483
2;40;false;0.0;SchaffersEvaluation;7396;0.5943565579629189;1.0603322323506805;2300.0;1734.9351572897472
2;40;false;0.0;KatsuuraEvaluation;21443;0.09145447078850366;0.12203455177386044;14600.0;13169.662106523463
2;50;false;0.0;SchaffersEvaluation;10278;0.6747739178098442;0.6377780553485233;2800.0;1536.2291495737215
2;50;false;0.0;KatsuuraEvaluation;1235;0.3768866284731976;0.5876296258795051;20900.0;13322.537295875738
4;10;false;0.0;SchaffersEvaluation;13063;0.6739292942781626;0.5780354294783832;3600.0;4409.081537009721
4;10;false;0.0;KatsuuraEvaluation;12868;0.0340532222270336;0.03712820189042737;41400.0;28256.68062600418
4;20;false;0.0;SchaffersEvaluation;4860;1.3624480216905135;1.9257231071801657;2100.0;1044.030650891055
4;20;false;0.0;KatsuuraEvaluation;30926;0.18853420478715505;0.41216673882059607;30700.0;29010.515334960874
4;30;false;0.0;SchaffersEvaluation;16444;1.36466560902716;1.1386447948981486;1900.0;1135.7816691600547
4;30;false;0.0;KatsuuraEvaluation;6462;0.29382246651502075;0.6569767161807518;34600.0;32952.0864286315
4;40;false;0.0;SchaffersEvaluation;6447;0.9130499971179431;0.6673769946408578;5100.0;8154.140052758476
4;40;false;0.0;KatsuuraEvaluation;29654;0.43076438542191775;0.6195348841115753;21400.0;27071.01771267567
4;50;false;0.0;SchaffersEvaluation;709;0.9269304243175694;1.1643018466383812;1900.0;538.5164807134504
4;50;false;0.0;KatsuuraEvaluation;28715;0.21187641903513005;0.3093484715473015;40500.0;27097.047809678457
5;10;false;0.0;SchaffersEvaluation;9050;0.5187919653831574;0.8006394591541383;3600.0;5257.375771237967
5;10;false;0.0;KatsuuraEvaluation;23158;0.35305180072058084;0.6946665251321759;40800.0;26551.082840441744
5;20;false;0.0;SchaffersEvaluation;17015;1.019347272978955;0.8619407943228132;3100.0;3330.1651610693425
5;20;false;0.0;KatsuuraEvaluation;9189;0.8859073374876818;1.386492638769554;30000.0;32221.111091953364
5;30;false;0.0;SchaffersEvaluation;18276;1.546137618847687;1.5744174033967113;8400.0;17872.884490199114
5;30;false;0.0;KatsuuraEvaluation;8590;1.0410140372759769;1.9030919407072406;28700.0;27571.905991425403
5;40;false;0.0;SchaffersEvaluation;14391;0.7552826115128699;0.8722205805347245;1900.0;538.5164807134504
5;40;false;0.0;KatsuuraEvaluation;7255;0.15247548147198536;0.3909253822994602;47000.0;30347.981810987036
5;50;false;0.0;SchaffersEvaluation;2808;1.5181501079620559;0.9305246394422975;2100.0;300.0
5;50;false;0.0;KatsuuraEvaluation;19883;0.488595716489312;0.8606629172183052;32100.0;32506.768525954714
1;0;true;0.001;SchaffersEvaluation;26426;0.6187487618355136;0.40048578570728005;9100.0;19331.063085097
1;0;true;0.001;KatsuuraEvaluation;942;0.10173206919819633;0.19250402362899385;40100.0;22862.41457064411
1;0;true;0.003;SchaffersEvaluation;22666;0.8128273970341908;0.8886337045594617;15300.0;20808.892329963168
1;0;true;0.003;KatsuuraEvaluation;22727;0.9799547488009969;1.5293353740254185;48710.0;31222.378192572072
2;10;true;0.001;SchaffersEvaluation;5739;0.7886057092691597;0.4871083153340909;3700.0;4124.318125460256
2;10;true;0.001;KatsuuraEvaluation;15666;0.9141676092428439;1.1248054933784966;63400.0;24775.79463912308
2;10;true;0.003;SchaffersEvaluation;18486;1.0361542989044157;1.0725583665366567;5500.0;8452.810183601665
2;10;true;0.003;KatsuuraEvaluation;32318;0.46289352944356865;0.5982884822206125;51300.0;27720.20923441957
2;20;true;0.001;SchaffersEvaluation;29216;1.3302243464840742;1.2628269728983341;7200.0;9795.917517006767
2;20;true;0.001;KatsuuraEvaluation;17124;0.5210045780593169;0.8301714472984397;57100.0;34030.7214146277
2;20;true;0.003;SchaffersEvaluation;15897;0.4971693311755758;0.5342126627951201;10500.0;18704.27758562196
2;20;true;0.003;KatsuuraEvaluation;1436;0.8356277813644466;1.2689497037802715;48000.0;26925.824035672522
2;30;true;0.001;SchaffersEvaluation;1937;1.1888129121197863;1.7252043778851944;2600.0;2009.975124224178
2;30;true;0.001;KatsuuraEvaluation;27856;1.2944376568166314;1.143850320019743;51400.0;21859.551687992138
2;30;true;0.003;SchaffersEvaluation;16037;1.4852366115720899;1.1062870450532252;5400.0;8968.834929911465
2;30;true;0.003;KatsuuraEvaluation;16890;0.5457561457855347;0.8246425959906916;55300.0;27889.245238980562
2;40;true;0.001;SchaffersEvaluation;9187;1.410364116793627;1.5783260463898618;4000.0;5385.164807134504
2;40;true;0.001;KatsuuraEvaluation;9651;0.4305190005163091;0.7180530475204182;69700.0;25420.66088834041
2;40;true;0.003;SchaffersEvaluation;32247;0.5458390251474212;0.32865477810638105;12100.0;17523.98356538832
2;40;true;0.003;KatsuuraEvaluation;32777;0.3044652674821353;0.5089403697725026;47400.0;28674.72754883645
2;50;true;0.001;SchaffersEvaluation;10236;1.9779343710528778;1.729218630609484;8400.0;14907.71612286738
2;50;true;0.001;KatsuuraEvaluation;5927;0.5987962788857091;0.5956880185765544;47200.0;27161.737794183937
2;50;true;0.003;SchaffersEvaluation;6631;1.2401556437169554;1.0067360763791793;13400.0;24520.19575778301
2;50;true;0.003;KatsuuraEvaluation;122;1.268062392900803;1.4257635855767143;35010.0;28661.836996256887
4;10;true;0.001;SchaffersEvaluation;668;1.2480049305961578;1.7674900277516938;6200.0;13280.060240827223
4;10;true;0.001;KatsuuraEvaluation;27740;0.9842718982643636;0.9679894817777662;54700.0;28188.827574058487
4;10;true;0.003;SchaffersEvaluation;23795;1.2849866203868494;1.2684921719893643;5300.0;4001.2498047485115
4;10;true;0.003;KatsuuraEvaluation;22;0.4996544874604666;0.7493428702380116;51000.0;25546.036874630867
4;20;true;0.001;SchaffersEvaluation;26817;1.447350568762022;1.414995575719012;5200.0;5706.1370470748425
4;20;true;0.001;KatsuuraEvaluation;31093;1.1386200446486199;1.2566626783470107;52600.0;25211.901951261036
4;20;true;0.003;SchaffersEvaluation;14956;1.163176198166609;0.6160655547313076;1900.0;700.0
4;20;true;0.003;KatsuuraEvaluation;9151;0.7881874359196053;1.0757569200928558;35300.0;25246.980017419904
4;30;true;0.001;SchaffersEvaluation;20445;1.5362533195770767;1.9027051567003528;2300.0;640.3124237432849
4;30;true;0.001;KatsuuraEvaluation;12487;0.6434596624590407;1.1518970615476933;63800.0;28624.46506050375
4;30;true;0.003;SchaffersEvaluation;19647;1.3911086322301767;0.9834907161347333;4300.0;3100.0
4;30;true;0.003;KatsuuraEvaluation;6921;1.313082494275724;1.9015167206764219;63600.0;27441.574298862666
4;40;true;0.001;SchaffersEvaluation;21639;1.4647886165092985;1.14047188553444;5600.0;8558.037158133868
4;40;true;0.001;KatsuuraEvaluation;4592;0.905111835715528;1.4943260639108515;45900.0;26763.594676350935
4;40;true;0.003;SchaffersEvaluation;14190;1.5156448127898783;1.5513691683866537;4800.0;3789.4590642992835
4;40;true;0.003;KatsuuraEvaluation;3342;0.7589309475799432;1.3758336513415717;45800.0;31514.441134184817
4;50;true;0.001;SchaffersEvaluation;14623;1.8195410773015954;1.3770730241712208;5100.0;8104.936767180852
4;50;true;0.001;KatsuuraEvaluation;19576;0.155078631178487;0.24294795892014875;58400.0;29435.35289409658
4;50;true;0.003;SchaffersEvaluation;12199;1.022656926718807;0.6821800200728968;3300.0;1676.305461424021
4;50;true;0.003;KatsuuraEvaluation;9244;0.5867151959331827;0.767108563322446;61400.0;25334.56137374397
5;10;true;0.001;SchaffersEvaluation;24660;0.7736132154818313;1.0444425946939713;8800.0;12804.686642007293
5;10;true;0.001;KatsuuraEvaluation;7350;1.0277590723124832;1.6919916984636998;50200.0;24701.416963405158
5;10;true;0.003;SchaffersEvaluation;4999;1.1392434915146983;1.3040957010764904;5400.0;8101.8516402116375
5;10;true;0.003;KatsuuraEvaluation;1892;0.9545254565310628;1.7382844097529808;59500.0;27115.493725912496
5;20;true;0.001;SchaffersEvaluation;32724;1.379305172960205;1.2429924143233118;2300.0;1100.0
5;20;true;0.001;KatsuuraEvaluation;11536;0.656121738155765;0.6414273681518882;44300.0;24988.1972138848
5;20;true;0.003;SchaffersEvaluation;29544;1.2826723504138202;0.8996224389419515;3400.0;2059.1260281974
5;20;true;0.003;KatsuuraEvaluation;9544;1.0950363143565243;1.1637990006280927;43700.0;20499.02436702781
5;30;true;0.001;SchaffersEvaluation;25703;2.193456093521683;2.274673484136892;4500.0;2906.8883707497266
5;30;true;0.001;KatsuuraEvaluation;13246;1.7515473372524508;1.9578125932101162;42600.0;26526.213450094983
5;30;true;0.003;SchaffersEvaluation;28402;2.637194676050954;2.0132380560416174;2700.0;2451.5301344262525
5;30;true;0.003;KatsuuraEvaluation;30572;3.6539448748605863;1.6049877541922757;42300.0;18878.82411592417
5;40;true;0.001;SchaffersEvaluation;6427;1.3960180941618354;1.3001556939033145;2600.0;800.0
5;40;true;0.001;KatsuuraEvaluation;24178;0.37155725591228805;0.5662184925168697;48900.0;30329.688425699333
5;40;true;0.003;SchaffersEvaluation;24069;0.8035449138976422;0.48942620781556984;2500.0;1024.6950765959598
5;40;true;0.003;KatsuuraEvaluation;5303;0.8268663925915913;0.9952514760562367;52400.0;28636.34054833124
5;50;true;0.001;SchaffersEvaluation;17423;1.764060480659404;0.8012681783660509;2500.0;1118.033988749895
5;50;true;0.001;KatsuuraEvaluation;18480;1.7267831870497428;1.8720664459440308;38900.0;27976.59736279593
5;50;true;0.003;SchaffersEvaluation;10369;1.1279447499054973;1.0424288321096247;3100.0;1300.0
5;50;true;0.003;KatsuuraEvaluation;11295;1.420168015615247;1.7120715635264012;51100.0;29429.40706164499
1;0;false;0.0;SchaffersEvaluation;28846;0.8860320434453994;0.9020405176967811;1800.0;600.0
2;10;false;0.0;SchaffersEvaluation;30816;0.43195115283590846;0.35306818738261864;3100.0;5374.941860150675
2;20;false;0.0;SchaffersEvaluation;9856;1.2196481077982422;1.1705954664990048;2200.0;1939.0719429665317
2;30;false;0.0;SchaffersEvaluation;5218;1.3628715521360946;1.0511133043306748;1300.0;900.0
2;40;false;0.0;SchaffersEvaluation;6783;1.2686063576176814;1.6840681161312459;2400.0;1562.049935181331
2;50;false;0.0;SchaffersEvaluation;23066;0.5433905866348107;0.7306010027459258;1700.0;1004.987562112089
4;10;false;0.0;SchaffersEvaluation;31326;1.0889100811321832;1.1098458000234934;1600.0;489.89794855663564
4;20;false;0.0;SchaffersEvaluation;11657;1.0409670046686246;0.8533759064376467;1300.0;458.257569495584
4;30;false;0.0;SchaffersEvaluation;14699;1.4089127169764473;1.8922521124577714;2600.0;1280.6248474865697
4;40;false;0.0;SchaffersEvaluation;18648;1.3119733720938311;1.9607654807782982;2500.0;1962.1416870348583
4;50;false;0.0;SchaffersEvaluation;29702;1.8525095124403095;1.2379491938159266;2300.0;1100.0
5;10;false;0.0;SchaffersEvaluation;13194;1.1675435830816905;1.4493582973651737;5500.0;12839.392508993562
1;0;false;0.0;SchaffersEvaluation;4104;0.6450084230649378;0.31694694257821654;1500.0;921.9544457292888
1;0;false;0.0;KatsuuraEvaluation;4652;0.1621478001965179;0.18823664174682903;21000.0;21642.550681470057
2;10;false;0.0;SchaffersEvaluation;30436;0.41605307019987514;0.4952978211309721;2800.0;2088.06130178211
2;10;false;0.0;KatsuuraEvaluation;31683;0.8952839656047098;1.4457745731634348;30500.0;30358.689036254513
2;20;false;0.0;SchaffersEvaluation;5636;0.2804800160284827;0.20279112716448058;2300.0;2002.4984394500786
2;20;false;0.0;KatsuuraEvaluation;1450;0.22581515835504945;0.25991656231129084;36700.0;33766.99572067376
2;30;false;0.0;SchaffersEvaluation;13798;0.8060867998627259;0.7243371263894789;2000.0;1095.4451150103323
2;30;false;0.0;KatsuuraEvaluation;4719;0.03243106004481917;0.06751810495158372;41800.0;31886.67433270519
2;40;false;0.0;SchaffersEvaluation;28178;1.0452347467184402;1.1507779059448209;2700.0;2002.4984394500786
2;40;false;0.0;KatsuuraEvaluation;26981;0.5929368442214642;0.8012953883718351;31400.0;22253.988406575572
2;50;false;0.0;SchaffersEvaluation;74;0.9964041954286016;1.0990777877385707;1200.0;400.0
2;50;false;0.0;KatsuuraEvaluation;30266;0.27621262765349697;0.633442849547842;35500.0;25916.2111428349
4;10;false;0.0;SchaffersEvaluation;4308;1.3355710876447735;1.6016114156877268;2500.0;1565.2475842498527
4;10;false;0.0;KatsuuraEvaluation;22590;0.1801530180290796;0.16757726234662015;35300.0;30420.552263231515
4;20;false;0.0;SchaffersEvaluation;12328;0.6202567477222132;0.33503407481764713;2300.0;2282.5424421026655
4;20;false;0.0;KatsuuraEvaluation;5620;0.5143786924394398;1.0023730640878084;42300.0;24968.17974943308
4;30;false;0.0;SchaffersEvaluation;22859;0.6901818602588154;0.5680975058318699;1800.0;871.7797887081347
4;30;false;0.0;KatsuuraEvaluation;24700;0.45217991669981233;0.6163009374281883;22400.0;26150.334605889846
4;40;false;0.0;SchaffersEvaluation;18764;1.6991884463862388;2.270857966435835;3400.0;3878.1438859330633
4;40;false;0.0;KatsuuraEvaluation;15048;0.5750818151702705;0.6166670789859476;31700.0;34695.965183288965
4;50;false;0.0;SchaffersEvaluation;23120;1.0272783657736657;1.1797532179033432;2000.0;774.5966692414834
4;50;false;0.0;KatsuuraEvaluation;25824;0.39505050628134114;0.5527309324708469;32800.0;29775.157430314284
5;10;false;0.0;SchaffersEvaluation;20687;0.9177550388076394;1.0312371130694442;2500.0;1910.49731745428
5;10;false;0.0;KatsuuraEvaluation;24771;0.2528745171038279;0.33383910488193064;21800.0;23288.623832249083
5;20;false;0.0;SchaffersEvaluation;7071;0.5132438108539248;0.40764241363774184;2900.0;2736.7864366808017
5;20;false;0.0;KatsuuraEvaluation;434;0.2638933662180961;0.2884467245389535;30100.0;26515.844319953307
5;30;false;0.0;SchaffersEvaluation;14893;1.4288526138115993;1.3929550479473893;1700.0;1004.987562112089
5;30;false;0.0;KatsuuraEvaluation;32499;0.11610540881519829;0.19030719219486325;45400.0;33148.7556327534
5;40;false;0.0;SchaffersEvaluation;19032;1.1045144553866162;0.7934691460358636;6600.0;8260.750571225353
5;40;false;0.0;KatsuuraEvaluation;30568;0.43409978251188275;0.5707733986927155;32300.0;31849.8037670564
5;50;false;0.0;SchaffersEvaluation;16740;1.7011440044941455;0.750085243559811;2300.0;640.3124237432849
5;50;false;0.0;KatsuuraEvaluation;7124;0.31660671232326904;0.5628315634103734;30900.0;30804.058174208152
1;0;true;0.01;SchaffersEvaluation;31383;1.110606673922315;1.508149311284464;18500.0;25923.927171630457
1;0;true;0.01;KatsuuraEvaluation;26069;0.019305348114218596;0.028647147513059707;24800.0;28895.67441677041
