island_count;epoch_size;fitness_sharing;sigma;migration_size;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;false;0.05;0;400;24;3;1;2;SchaffersEvaluation;25441;6.9087599677408615;2.0951567080660154;31583.2;19354.8596316274
2;5;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;18383;7.261004859827308;1.8513291294220264;43499.2;25863.375482716867
2;15;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;13758;7.222663733597199;2.2785357597054836;43420.0;17569.066361079065
2;45;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;17988;7.148260332911413;1.9880122541882883;39217.6;26614.15221719452
4;5;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;14268;7.658596122552541;1.7195752425089457;33320.8;20275.12571009117
4;15;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;22839;7.817050097324447;1.4595693690095535;45520.0;14654.821349985814
4;45;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;15774;6.6204169924799885;1.554079464393796;46468.0;28215.85443682328
8;5;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;17894;8.082609309511838;1.6245717423293962;52897.6;29798.72164774858
8;15;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;3099;7.566028038899906;1.365761599178296;46542.4;12791.320957586828
8;45;false;0.05;2;400;24;3;1;2;SchaffersEvaluation;25623;7.393766984138914;1.2886201469578196;48959.2;22024.72311199394
1;0;false;0.05;0;50;24;3;1;2;SchaffersEvaluation;1833;6.299195196157415;2.039112685650282;23502.8;11432.229640800608
2;5;false;0.05;2;50;24;3;1;2;SchaffersEvaluation;20135;7.376215533553261;1.4931546636388526;13185.2;7528.322586074537
2;15;false;0.05;2;50;24;3;1;2;SchaffersEvaluation;18004;6.614958027385716;2.0734269265264778;8654.0;2493.5353215866025
2;45;false;0.05;2;50;24;3;1;2;SchaffersEvaluation;1637;6.5029712088393765;1.5742039208980496;8718.8;2212.789587827998
1;0;false;0.05;0;100;24;3;1;2;SchaffersEvaluation;30372;6.0191397368130515;2.741450501790264;54433.6;28436.752118341505
2;5;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;5338;7.535957374171479;1.1887200323499119;41920.0;17977.833551348725
2;15;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;18986;6.684664252910203;2.2097041624705334;54164.8;28489.021144293463
2;45;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;18907;7.071418932326009;1.260035329447292;44756.8;21145.119743335577
4;5;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;15202;7.669488033452955;2.426474401996014;22957.6;15957.62941793047
4;15;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;4458;7.618726661161775;1.304037485713865;15498.4;4749.759471804861
4;45;false;0.05;2;100;24;3;1;2;SchaffersEvaluation;16616;7.984332855720815;0.9668281775320237;19400.8;5556.109372573581
1;0;false;0.05;0;200;24;3;1;2;SchaffersEvaluation;52;6.619404869499223;2.009672719157475;51550.4;23012.01600555675
2;5;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;15791;6.548473750462745;2.8225932178715705;53710.4;28441.667191639805
2;15;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;14528;7.339296759026088;1.0811914754238467;28916.0;14166.690961547796
2;45;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;25451;7.324600294065047;1.6829278975895896;41681.6;18645.455270386934
4;5;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;25210;9.071203371125907;0.7417291861020292;27401.6;12744.62009790798
4;15;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;9445;7.441125414787666;1.9062393574232115;57922.4;31178.422908158776
4;45;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;30397;6.288677691143156;1.6432344742293994;50451.2;29656.202470309647
8;5;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;8143;7.336385857445364;2.4372752408303677;42560.0;28380.68548855013
8;15;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;3473;8.489291457748656;0.517727051161246;37212.8;8986.0551166794
8;45;false;0.05;2;200;24;3;1;2;SchaffersEvaluation;4458;8.272187557832076;0.3902611249898469;37908.8;7907.989438536196
