island_count;epoch_size;fitness_sharing;sigma;migration_size;population_size;parent_count;arity;recombination_p;k;evaluationName;seed;MBF;stdBF;meanConv;stdConv
1;0;true;0.05;0;50;24;3;1;2;SchaffersEvaluation;25239;8.731000728766464;0.690136628716366;10005.2;7102.190039699022
2;5;true;0.05;2;50;24;3;1;2;SchaffersEvaluation;27490;7.390369910834326;2.241008250795796;10658.0;6292.917161380721
1;0;true;0.05;0;100;24;3;1;2;SchaffersEvaluation;10417;8.448595109250999;1.6796463678514975;10297.6;5554.353449322432
2;5;true;0.05;2;100;24;3;1;2;SchaffersEvaluation;11131;8.465904182253936;1.3395747097719948;9100.0;2483.0664912563257
4;5;true;0.05;2;100;24;3;1;2;SchaffersEvaluation;22090;9.226916719519457;0.4616629707645239;9560.8;2203.7646335305412
1;0;true;0.05;0;200;24;3;1;2;SchaffersEvaluation;27147;9.255991545429639;0.3075650225089693;13608.8;7923.134288903602
2;5;true;0.05;2;200;24;3;1;2;SchaffersEvaluation;8659;9.312010399654952;0.6493249528929627;9857.6;2189.2736329659665
4;5;true;0.05;2;200;24;3;1;2;SchaffersEvaluation;20336;9.30584419263084;0.6088266528268457;14120.0;3204.660606054875
8;5;true;0.05;2;200;24;3;1;2;SchaffersEvaluation;11130;9.385054434235093;0.3107041927366891;14607.2;2488.18893173328
1;0;true;0.05;0;400;24;3;1;2;SchaffersEvaluation;24981;9.300495486831121;0.3272290026958502;15584.8;4014.8499548551003
2;5;true;0.05;2;400;24;3;1;2;SchaffersEvaluation;3968;9.344183493340878;0.3331423650387007;16050.4;5374.279546134532
4;5;true;0.05;2;400;24;3;1;2;SchaffersEvaluation;2966;9.366288827028495;0.32833393446775044;15882.4;2562.7786170483005
8;5;true;0.05;2;400;24;3;1;2;SchaffersEvaluation;8952;9.548373787775262;0.22145204410179842;17963.2;2728.82849589343
